"ID_REF"	"GSM237996"	"GSM237997"	"GSM237998"	"GSM237999"	"GSM238000"	"GSM238001"	"GSM238002"	"GSM238003"	"GSM238004"	"GSM238005"	"GSM238006"	"GSM238007"	"GSM238008"	"GSM238009"	"GSM238010"	"GSM238011"	"GSM238012"	"GSM238013"	"GSM238014"	"GSM238015"	"GSM238016"	"GSM238017"
"1007_s_at"	10.32560073	10.00084723	10.02613374	9.264719463	9.808711795	10.4793208	9.138625075	9.903099251	10.30950611	9.81322233	9.510628147	9.690916163	9.806008782	9.451809568	9.720430816	9.825665789	9.672277817	10.50713471	10.04361422	9.726794521	9.636273663	10.46667872
"1053_at"	6.865325493	6.950534234	6.354069176	7.086459848	6.833430789	6.895110416	7.451732007	6.479819332	6.773067476	8.13781096	6.484136242	6.909854468	6.993894655	7.389452107	6.431869274	6.377978041	6.883100619	7.225915596	6.950926591	7.067631967	6.892886707	6.791792158
"117_at"	6.785663448	6.775417761	6.84551844	7.155588886	6.941839369	7.029992028	8.05275104	6.891058288	6.632495939	7.237104498	10.55734754	7.002006556	6.572041299	7.096468164	7.446701824	6.915438984	6.680677189	6.811809437	6.86587777	8.575247671	6.860215198	7.538526504
"121_at"	8.706609149	8.548894363	8.919311511	8.774273446	9.234500048	8.718441858	8.696824313	8.482626377	8.76306695	8.614845098	8.582383192	8.98266359	8.640136965	8.650958602	8.946187517	8.566446312	8.66736472	9.116604788	8.699115676	8.919721555	8.726018014	8.741436047
"1255_g_at"	4.31379414	4.331791061	4.33954485	4.298364638	4.496178516	4.280318514	4.348972539	4.300028329	4.357412103	4.34600623	4.37694416	4.474950321	4.330029372	4.390597569	4.392479006	4.367285758	4.295038156	4.366953076	4.584910612	4.378535124	4.336003445	4.426241478
"1294_at"	7.456146552	7.611781489	7.467642037	8.183206108	8.25117747	7.061211504	7.737623167	7.282703742	7.187595944	7.138620273	7.222345497	7.404707083	7.123630077	7.578306595	7.88034643	7.560653342	7.295501967	7.123488762	7.276867368	7.491297489	7.517379262	7.655833994
"1316_at"	5.208851572	5.298799312	5.417434853	5.32110862	5.413053697	5.230860441	5.228751305	5.142291026	5.184644227	5.092194675	5.251579147	5.347251671	5.123829733	5.240818305	5.445132037	5.18757798	5.254173901	5.238048063	5.125987421	5.347743545	5.243603052	5.366466468
"1320_at"	4.940154108	5.096919847	4.995050765	5.108825928	5.150593293	5.048913522	5.154445211	5.036118305	5.151287829	5.12247565	4.903218384	5.217093799	4.992178576	5.056959238	5.071976316	5.144316402	4.988043101	4.99319373	5.191673514	5.005731484	5.003443427	5.175717329
"1431_at"	4.122633098	3.988351812	3.990025046	4.12792801	4.114763523	3.986387575	4.012889526	3.947659025	4.242443665	3.890838363	3.847536185	4.208219561	3.800443054	3.854880082	4.049170826	3.789992637	4.141750035	3.9958632	3.852042184	4.011120275	3.997581446	3.986073173
"1438_at"	8.047855353	7.65961398	7.642131476	7.066121327	7.755455912	7.308677201	7.602758679	6.769011094	7.052856135	6.95331734	6.398440411	7.256895815	7.465758191	7.069759651	7.601288003	7.291340771	6.983528456	7.073093213	7.470954645	7.24327833	7.334152938	6.66229402
