"","column","cor","p.adj"
"1","A1BG",-0.157438849247836,1
"2","A1CF",-0.149325933179359,1
"3","A2M",-0.0743287000507775,1
"4","A2ML1",0.265862370285076,1
"5","A3GALT2",-0.274932881262854,1
"6","A4GALT",0.221321257442699,1
"7","A4GNT",-0.118812188989665,1
"8","AAAS",-0.160001119930561,1
"9","AACS",0.0926283667315497,1
"10","AADAC",0.090081555190806,1
"12","AADACL3",0.0601797217186502,1
"13","AADACL4",-0.114728945905469,1
"14","AADAT",-0.338137505445541,1
"15","AAGAB",0.0431984490059167,1
"16","AAK1",0.198328510125154,1
"17","AAMDC",-0.0441552169969545,1
"18","AAMP",0.163350865966665,1
"19","AANAT",0.271745943176584,1
"20","AAR2",-0.0512753211109792,1
"21","AARD",-0.325447757673574,1
"22","AARS1",0.206469132865901,1
"23","AARS2",-0.222622783622151,1
"24","AARSD1",0.0305159718947001,1
"25","AASDH",0.216231081992681,1
"26","AASDHPPT",-0.195221563742658,1
"27","AASS",-0.157428007817311,1
"28","AATF",0.0806349450762049,1
"29","AATK",-0.188680294989583,1
"30","ABAT",0.122365765422315,1
"31","ABCA1",0.0487836479117553,1
"32","ABCA10",0.25991988847739,1
"33","ABCA12",0.349845010933291,1
"34","ABCA13",0.102904104210671,1
"35","ABCA2",-0.0626544315136763,1
"36","ABCA3",-0.28672236439019,1
"37","ABCA4",-0.13295436601826,1
"38","ABCA5",0.00607626138776941,1
"39","ABCA6",0.146619846854865,1
"40","ABCA7",0.240332386572409,1
"41","ABCA8",-0.086362036103677,1
"42","ABCA9",-0.396484640094992,1
"43","ABCB1",0.0104716763525546,1
"44","ABCB10",-0.0451977799799548,1
"45","ABCB11",-0.00115667194444883,1
"46","ABCB4",-0.187221779686476,1
"47","ABCB5",-0.0311839345973852,1
"48","ABCB6",-0.253112062499695,1
"49","ABCB7",-0.0389103153035857,1
"50","ABCB8",-0.00174634894390734,1
"51","ABCB9",0.197276680181714,1
"52","ABCC1",-0.105204768213,1
"53","ABCC10",0.0378855490633782,1
"54","ABCC11",-0.0238720646443034,1
"55","ABCC12",-0.0515714232564148,1
"56","ABCC2",-0.154569035400958,1
"57","ABCC3",0.131274280458086,1
"58","ABCC4",-0.171827043003475,1
"59","ABCC5",-0.182532405740328,1
"60","ABCC6",0.0494946062560746,1
"61","ABCC8",-0.182051719648668,1
"62","ABCC9",0.00399190153586422,1
"63","ABCD1",-0.0891727779861868,1
"64","ABCD2",-0.258723142923311,1
"65","ABCD3",0.136444444474523,1
"66","ABCD4",-0.0266924285761399,1
"67","ABCE1",0.0506964374001189,1
"68","ABCF1",-0.0310781820453146,1
"69","ABCF2",-0.168568109029205,1
"70","ABCF2-H2BK1",-0.109424268981636,1
"71","ABCF3",0.0688881656573504,1
"72","ABCG1",0.178145461228833,1
"73","ABCG2",0.166241971044745,1
"74","ABCG4",-0.32965947895866,1
"75","ABCG5",0.0263286282519094,1
"76","ABCG8",-0.193604612507575,1
"77","ABHD1",-0.178189503463766,1
"78","ABHD10",0.0835508956634138,1
"79","ABHD11",-0.0102049744106341,1
"80","ABHD12",0.0220398593201818,1
"81","ABHD12B",0.143725288794375,1
"82","ABHD13",0.197361891904708,1
"83","ABHD14A",-0.150402834312855,1
"84","ABHD14A-ACY1",-0.0555658808289163,1
"85","ABHD14B",0.0117374506576633,1
"86","ABHD15",-0.207001078677277,1
"87","ABHD16A",0.166117956518262,1
"88","ABHD16B",0.0376180936250319,1
"89","ABHD17A",-0.0335657141123343,1
"90","ABHD17B",-0.106833599810331,1
"91","ABHD17C",0.260166300478517,1
"92","ABHD18",-0.0680093085904566,1
"93","ABHD2",-0.129621658384416,1
"94","ABHD3",0.0329307684013023,1
"95","ABHD4",-0.0672340664065167,1
"96","ABHD5",0.0560756826421909,1
"97","ABHD6",-0.0982132554780747,1
"98","ABHD8",-0.0396634575090315,1
"99","ABI1",0.187141297367085,1
"100","ABI2",-0.365999371549902,1
"101","ABI3",-0.0292734604616529,1
"102","ABI3BP",-0.0153881794036086,1
"103","ABITRAM",0.361874798915566,1
"104","ABL1",-0.0509160265648754,1
"105","ABL2",0.166777495481044,1
"106","ABLIM1",0.19585864667783,1
"107","ABLIM2",-0.0107435416058088,1
"108","ABLIM3",0.327416162081831,1
"109","ABO",0.130245399347226,1
"110","ABR",0.0623323195952722,1
"111","ABRA",-0.186598214659854,1
"112","ABRACL",0.205222600947082,1
"113","ABRAXAS1",-0.212280279956807,1
"114","ABRAXAS2",0.22156112166499,1
"115","ABT1",0.196797621247535,1
"116","ABTB1",0.227420828500863,1
"117","ABTB2",0.264565062994096,1
"118","ABTB3",0.14442873541397,1
"119","ACAA1",0.0726869317950865,1
"120","ACAA2",-0.316916368756231,1
"121","ACACA",-0.129064770407679,1
"122","ACACB",-0.473528182325432,0.0245836690198168
"123","ACAD10",-0.119591202253317,1
"124","ACAD11",0.177358558429705,1
"125","ACAD8",-0.162978235247816,1
"126","ACAD9",0.00898706535312904,1
"127","ACADL",-0.170248061275675,1
"128","ACADM",0.0221606261193584,1
"129","ACADS",0.102856203364769,1
"130","ACADSB",-0.370382822852081,1
"131","ACADVL",0.139293663125184,1
"132","ACAN",-0.1456036091022,1
"133","ACAP1",0.224489246250193,1
"134","ACAP2",0.0283466551058081,1
"135","ACAP3",0.00479461883840301,1
"136","ACAT1",-0.447716169667463,0.104929219708032
"137","ACAT2",0.0240765690890523,1
"138","ACBD3",0.170274943554192,1
"139","ACBD4",-0.116875209015336,1
"140","ACBD5",-0.200471756167048,1
"141","ACBD6",-0.0518439711970265,1
"142","ACBD7",-0.352485814572346,1
"143","ACCS",0.0278404988446613,1
"144","ACCSL",-0.00189091642439396,1
"145","ACD",0.0504706911747306,1
"146","ACE",0.0114397062883841,1
"147","ACE2",0.211093570092017,1
"148","ACER1",-0.126788744470551,1
"149","ACER2",0.165575973654864,1
"150","ACER3",0.264211168798484,1
"151","ACHE",-0.0738616165709032,1
"152","ACIN1",-0.0818536223484987,1
"153","ACKR1",-0.178948379799521,1
"154","ACKR2",0.0220697431173538,1
"155","ACKR3",0.0442734949788446,1
"156","ACKR4",0.0407811209088052,1
"157","ACLY",-0.2337185131324,1
"158","ACMSD",-0.168426015063695,1
"159","ACO1",0.0124028837599076,1
"160","ACO2",-0.0193452433029478,1
"161","ACOD1",0.198114594781894,1
"162","ACOT1",0.058860793066709,1
"163","ACOT11",0.349288798452287,1
"164","ACOT12",-0.122319353163941,1
"165","ACOT13",0.000381528433143964,1
"166","ACOT2",-0.153258488401648,1
"167","ACOT4",0.328656848062513,1
"168","ACOT6",0.0367360492491777,1
"169","ACOT7",0.160409018852664,1
"170","ACOT8",0.137013291608543,1
"171","ACOT9",0.241058680277824,1
"172","ACOX1",-0.0907834095534811,1
"173","ACOX2",-0.103544698979866,1
"174","ACOX3",-0.107373016283615,1
"175","ACOXL",0.0723316801361757,1
"176","ACP1",-0.173474387064448,1
"177","ACP2",0.0779043073222709,1
"178","ACP3",0.258331656178259,1
"179","ACP4",-0.403771582677201,0.954728379297879
"180","ACP5",0.370955252075835,1
"181","ACP6",0.0853841201268078,1
"182","ACP7",0.482339832300512,0.0145617938282355
"183","ACR",-0.0014604147575631,1
"184","ACRBP",-0.226789922205925,1
"185","ACRV1",-0.246858517254833,1
"186","ACSBG1",-0.235391628660174,1
"187","ACSBG2",-0.350078289473669,1
"188","ACSF2",0.263023804518783,1
"189","ACSF3",-0.0422282341874765,1
