"","column","cor","p.adj"
"1","TSPAN6",-0.227344393199771,0.0396729576090187
"2","TNMD",-0.0945122092730206,1
"3","DPM1",0.196431940028419,0.730334607728264
"4","SCYL3",-0.292995432704605,1.59547604070741e-05
"5","C1orf112",-0.0269288366989285,1
"6","FGR",-0.231061723792215,0.0270540998019081
"7","CFH",0.0360167661856387,1
"8","FUCA2",0.0766343871461987,1
"9","GCLC",-0.252686510234334,0.00252946226533061
"10","NFYA",0.0461230352105653,1
"11","STPG1",0.0535694384522184,1
"12","NIPAL3",0.0311125228275369,1
"13","LAS1L",-0.0651681142982753,1
"14","ENPP4",-0.2549401360896,0.00194855447265514
"15","SEMA3F",-0.0731946487923001,1
"16","CFTR",-0.189033155631852,1
"17","ANKIB1",-0.0384998370696062,1
"18","CYP51A1",-0.11114603779504,1
"19","KRIT1",-0.180153168222171,1
"20","RAD52",-0.156486104227888,1
"21","BAD",0.0170409720731576,1
"22","LAP3",0.0605960581081786,1
"23","CD99",-0.0665356146894989,1
"24","HS3ST1",0.223368963907871,0.0593190649876871
"25","AOC1",-0.0544473804890288,1
"26","WNT16",-0.151776442570349,1
"27","HECW1",0.00326035211379043,1
"28","MAD1L1",0.420963258613023,3.14680343485778e-15
"29","LASP1",0.0951194887152711,1
"30","SNX11",0.0560834790696617,1
"31","TMEM176A",-0.198722237067815,0.597614874815757
"32","M6PR",-0.0367068323437441,1
"33","KLHL13",-0.165355042458099,1
"34","CYP26B1",0.340506942755118,1.28852541142346e-08
"35","ICA1",-0.339333499929814,1.56087798315745e-08
"36","DBNDD1",-0.225682886785226,0.0469823118387092
"37","ALS2",-0.0301812452550986,1
"38","CASP10",-0.0976933523931874,1
"39","CFLAR",-0.0383643762475923,1
"40","TFPI",-0.203188306727209,0.402306038845033
"41","NDUFAF7",-0.0841329034770312,1
"42","RBM5",0.00498495058983389,1
"43","MTMR7",-0.0957558729222605,1
"44","SLC7A2",-0.24781123753558,0.00440162677822441
"45","ARF5",-0.0356831225851183,1
