"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",0,1.05792260680922,0.773,0.519,0
"MIB2",0,0.354372745576782,0.741,0.54,0
"RPL22",0,-0.137548949082416,0.992,0.991,0
"GPR153",0,0.299776466211969,0.433,0.145,0
"ACOT7",0,0.376355846083257,0.658,0.384,0
"ESPN",0,0.167794267704971,0.35,0.192,0
"RERE",0,-0.27612791100145,0.843,0.882,0
"ENO1",0,0.267005023066828,0.996,0.992,0
"FBXO2",0,0.713253501119015,0.768,0.389,0
"VPS13D",0,0.272660095003505,0.707,0.575,0
"KAZN",0,0.291157090503296,0.73,0.454,0
"DNAJC16",0,-0.266058817072694,0.33,0.443,0
"AL450998.2",0,-0.229911682263896,0.207,0.341,0
"SZRD1",0,-0.245900335346206,0.506,0.596,0
"CROCC",0,-0.258456003008537,0.257,0.398,0
"MFAP2",0,-0.341546859435586,0.281,0.474,0
"SDHB",0,-0.319001268718573,0.676,0.743,0
"PADI2",0,-0.224184125202907,0.016,0.169,0
"IFFO2",0,0.24878703250682,0.389,0.176,0
"CAMK2N1",0,0.575220388342363,0.614,0.291,0
"CDA",0,0.249646128385398,0.192,0.045,0
"ID3",0,0.350117670059021,0.414,0.256,0
"GALE",0,0.183415556998821,0.541,0.364,0
"TMEM50A",0,0.209074458322362,0.826,0.738,0
"STMN1",0,-0.462124301493472,0.815,0.854,0
"SH3BGRL3",0,0.725064583964692,0.956,0.894,0
"HMGN2",0,-0.394986867596314,0.822,0.858,0
"SFN",0,1.31860320331635,0.974,0.875,0
"NUDC",0,0.274303676583455,0.844,0.792,0
"IFI6",0,0.486290378871053,0.687,0.452,0
"PTAFR",0,0.140490703688824,0.236,0.097,0
"ATP5IF1",0,0.60767413881453,0.973,0.938,0
"SNHG12",0,0.149458037203862,0.361,0.23,0
"TINAGL1",0,0.452623989211978,0.855,0.79,0
"ZMYM4",0,-0.253378719507117,0.605,0.687,0
"LINC01137",0,-0.128013484178262,0.115,0.23,0
"ZC3H12A",0,-0.147554737578743,0.17,0.283,0
"POU3F1",0,0.269902324962006,0.273,0.135,0
"RHBDL2",0,-0.159343979619783,0.217,0.334,0
"SLC2A1",0,0.508841799143736,0.897,0.746,0
"SLC2A1-AS1",0,0.250629532830462,0.404,0.239,0
"ATP6V0B",0,0.234099305083098,0.876,0.795,0
"RNF220",0,0.297705932841058,0.52,0.338,0
"RPS8",0,-0.337824066798543,0.997,0.997,0
"UQCRH",0,-0.212728216366281,0.978,0.977,0
"CYP4X1",0,-0.193566794244219,0.073,0.208,0
"PDZK1IP1",0,-0.221997452868841,0.046,0.198,0
"TUT4",0,-0.262716855140772,0.656,0.728,0
"GPX7",0,-0.137671188459995,0.024,0.163,0
"ECHDC2",0,-0.24175600947267,0.277,0.44,0
"GLIS1",0,0.250911200212164,0.153,0.022,0
"AC119674.1",0,-0.140279149092958,0.051,0.14,0
"PLPP3",0,-0.317570741043176,0.271,0.425,0
"TACSTD2",0,0.489006711697523,0.86,0.728,0
"JUN",0,0.336844602641723,0.818,0.629,0
"PGM1",0,0.207715556443546,0.727,0.538,0
"ROR1",0,0.176066666665684,0.253,0.113,0
"CACHD1",0,-0.376033368777491,0.14,0.386,0
"LEPROT",0,0.187779580760247,0.726,0.616,0
"GADD45A",0,0.455964180626533,0.76,0.548,0
"AL583808.1",0,-0.0289589837155861,0.259,0.428,0
"IFI44L",0,0.209746729836015,0.365,0.235,0
"LINC01725",0,-0.125240005992523,0.03,0.111,0
"MCOLN3",0,-0.102944035753913,0.063,0.159,0
"SYDE2",0,-0.0975429568609843,0.061,0.152,0
"BCL10",0,0.173785977990216,0.52,0.373,0
"DPYD",0,-0.714606292112981,0.5,0.563,0
"SNX7",0,0.178392064583021,0.625,0.482,0
"KIAA1324",0,-0.288221998230044,0.051,0.218,0
"GSTM3",0,0.234853205576715,0.464,0.33,0
"SLC16A1",0,0.278608048083898,0.727,0.59,0
"CSDE1",0,-0.251512306334178,0.842,0.888,0
"TSPAN2",0,-0.100136507503202,0.023,0.128,0
"NGF",0,-0.134378579536029,0.036,0.133,0
"ATP1A1",0,0.280205071296598,0.874,0.813,0
"CD58",0,0.255890933169057,0.61,0.423,0
"SPAG17",0,-0.404462060945613,0.162,0.367,0
"PHGDH",0,-0.442403959127231,0.455,0.732,0
"TXNIP",0,-0.229941302102538,0.827,0.876,0
"PRPF3",0,-0.236660466243214,0.281,0.414,0
"ECM1",0,0.124760575902798,0.11,0.027,0
"GOLPH3L",0,-0.2170609287925,0.317,0.452,0
"S100A10",0,0.59252967317502,0.995,0.986,0
"SPRR1B",0,0.683867799891619,0.155,0.038,0
"S100A9",0,-0.611398730973935,0.409,0.7,0
"S100A7",0,0.846181118373207,0.139,0.015,0
"S100A6",0,0.644951214126801,0.998,0.99,0
"S100A2",0,1.85229264143631,0.998,0.995,0
"S100A16",0,0.300111615229084,0.957,0.934,0
"S100A14",0,1.08983946767807,0.921,0.847,0
"S100A13",0,0.228038743525907,0.859,0.765,0
"SHC1",0,0.189130891784099,0.432,0.286,0
"LMNA",0,0.289571541597119,0.966,0.931,0
"TMEM79",0,0.231583791416388,0.33,0.149,0
"CRABP2",0,0.203457742046883,0.684,0.475,0
"HDGF",0,-0.262129959029344,0.678,0.737,0
"TAGLN2",0,0.282522707582904,0.96,0.893,0
"PFDN2",0,0.354477865967974,0.898,0.779,0
"NOS1AP",0,-0.16164775690875,0.086,0.188,0
"CCDC190",0,-0.197994599906907,0.112,0.259,0
"PBX1",0,-0.501286765028293,0.413,0.61,0
"MGST3",0,0.177289588420566,0.937,0.862,0
"BX284613.2",0,-0.462429751849263,0.065,0.286,0
"PRRC2C",0,-0.227050772071561,0.904,0.911,0
"DNM3",0,0.807974609149121,0.429,0.284,0
"SUCO",0,-0.229774234688363,0.43,0.558,0
"GLUL",0,-0.595352431382879,0.447,0.658,0
"RGS16",0,-0.100928390076742,0.035,0.125,0
"ARPC5",0,0.298826062670475,0.892,0.826,0
"NIBAN1",0,-0.840990086180074,0.227,0.617,0
"PTGS2",0,-0.141220282643861,0.056,0.153,0
"PLA2G4A",0,-0.53085122631207,0.094,0.337,0
"KCNT2",0,-0.227405851733713,0.011,0.165,0
"CFH",0,-0.490857074271121,0.512,0.692,0
"MIR181A1HG",0,-0.369091444483427,0.203,0.408,0
"PHLDA3",0,0.317345838966068,0.675,0.549,0
"ELF3",0,-0.353267303351311,0.469,0.58,0
"LGR6",0,0.555919673749305,0.213,0.034,0
"CHI3L1",0,-0.705739795839793,0.052,0.145,0
"LEMD1",0,-0.67389659427586,0.399,0.705,0
"NUCKS1",0,-0.335141279691052,0.954,0.974,0
"RAB7B",0,0.0961357403706592,0.224,0.11,0
"DYRK3",0,0.113454053862747,0.305,0.176,0
"G0S2",0,-0.409778860894839,0.195,0.315,0
"ATF3",0,0.213132421443645,0.393,0.23,0
"TGFB2",0,-0.41692027705016,0.049,0.273,0
"LYPLAL1",0,-0.266380310654799,0.566,0.656,0
"MARK1",0,-0.320885219384623,0.53,0.634,0
"TLR5",0,-0.191087302518056,0.108,0.271,0
"SUSD4",0,-0.429811821789169,0.184,0.372,0
"DNAH14",0,-0.5851426717196,0.16,0.507,0
"LBR",0,-0.173648777880464,0.32,0.443,0
"ENAH",0,-0.487641994326634,0.783,0.869,0
"H3F3A",0,-0.290469201060521,0.987,0.989,0
"WNT9A",0,0.141084241630881,0.196,0.062,0
"GUK1",0,0.207550928086173,0.96,0.932,0
"RNF187",0,0.191977332911346,0.753,0.642,0
"DISC1",0,-0.121643040733077,0.198,0.352,0
"KCNK1",0,0.13901899655928,0.423,0.274,0
"SLC35F3",0,0.342377019249659,0.392,0.167,0
"GNG4",0,0.21337150243543,0.214,0.098,0
"NID1",0,-0.158550306452612,0.025,0.156,0
"RYR2",0,0.270469369393318,0.147,0.031,0
"CHRM3",0,-0.616957279869345,0.146,0.355,0
"SDCCAG8",0,-0.260733021513093,0.721,0.824,0
"AKT3",0,0.32442178657473,0.4,0.203,0
"FAM110C",0,0.191129057558985,0.369,0.184,0
"PXDN",0,-0.381336788013683,0.431,0.592,0
"LINC01250",0,0.325031669919743,0.124,0.007,0
"ADI1",0,-0.281926314762795,0.542,0.666,0
"RPS7",0,-0.341355435903719,0.998,0.997,0
"HPCAL1",0,0.175000966738927,0.361,0.214,0
"PDIA6",0,-0.392372872103789,0.876,0.921,0
"KCNS3",0,-0.178919154094185,0.305,0.428,0
"PUM2",0,-0.210022297472522,0.711,0.771,0
"NCOA1",0,-0.352371739894962,0.38,0.569,0
"PLB1",0,0.272069804775816,0.207,0.036,0
"CAPN13",0,-0.39187068463563,0.016,0.209,0
"GALNT14",0,-0.306952147142649,0.279,0.42,0
"LTBP1",0,0.324451641433759,0.484,0.301,0
"VIT",0,-0.156822131733305,0.006,0.115,0
"CYP1B1",0,-0.185866337178296,0.09,0.201,0
"SRSF7",0,-0.219469065863314,0.837,0.882,0
"EML4",0,-0.337994714059436,0.62,0.752,0
"PLEKHH2",0,-0.283287508011234,0.205,0.431,0
"RTN4",0,0.231156946552711,0.939,0.873,0
"EFEMP1",0,-0.422331758295856,0.289,0.449,0
"BCL11A",0,-0.607437064772273,0.453,0.603,0
"USP34",0,-0.444517455762125,0.795,0.823,0
"XPO1",0,-0.353885220780236,0.665,0.695,0
"FAM161A",0,-0.198805713670947,0.176,0.298,0
"COMMD1",0,-0.398583704661783,0.657,0.727,0
"WDPCP",0,-0.452258072975923,0.493,0.671,0
"VPS54",0,-0.312723932404009,0.443,0.576,0
"PELI1",0,-0.637201132661013,0.432,0.605,0
"AC012368.1",0,-0.297943168301327,0.05,0.263,0
"LGALSL-DT",0,-0.134105016470093,0.079,0.176,0
"MEIS1",0,-0.371533485397032,0.435,0.579,0
"MXD1",0,0.176641779787882,0.345,0.214,0
"TGFA",0,0.300229769289841,0.499,0.285,0
"EVA1A",0,-0.193564817899991,0.229,0.362,0
"TMSB10",0,0.276287613467308,0.999,0.998,0
"TCF7L1",0,-0.454230813344149,0.502,0.664,0
"VAMP5",0,0.254608361461218,0.41,0.261,0
"ANKRD36C",0,-0.471449320374255,0.333,0.472,0
"STARD7",0,-0.252809032262032,0.388,0.51,0
"CIAO1",0,-0.36488975697388,0.554,0.652,0
"SNRNP200",0,-0.476872388768724,0.489,0.624,0
"KANSL3",0,-0.418178023580463,0.313,0.464,0
"LMAN2L",0,-0.306614344175507,0.208,0.35,0
"CNNM3",0,-0.167777011372787,0.112,0.215,0
"ANKRD23",0,-0.379356475730689,0.162,0.33,0
"ANKRD39",0,-0.632757461199172,0.3,0.451,0
"SEMA4C",0,-0.316318477625257,0.088,0.275,0
"FAM178B",0,-0.220924896737628,0.064,0.168,0
"FAHD2B",0,-1.56896155706776,0.167,0.365,0
"ANKRD36",0,-1.59349610002162,0.394,0.512,0
"REV1",0,-0.256738325484638,0.518,0.633,0
"FHL2",0,0.527158603765254,0.844,0.545,0
"TTL",0,0.174658894747797,0.332,0.172,0
"SLC20A1",0,0.304866577389674,0.474,0.293,0
"IL1A",0,0.302944016533053,0.322,0.148,0
"IL1B",0,1.04145474948423,0.404,0.141,0
"PAX8-AS1",0,0.202920870524051,0.407,0.233,0
"AC016745.1",0,0.159947369151156,0.399,0.261,0
"INSIG2",0,0.154931014814592,0.488,0.313,0
"ARHGEF4",0,0.330609090943069,0.594,0.428,0
"TEX41",0,-0.304768417181566,0.061,0.254,0
"ACVR2A",0,-0.40726499398028,0.257,0.448,0
"LYPD6B",0,-0.262200428643575,0.056,0.252,0
"LYPD6",0,-0.103680189496699,0.041,0.139,0
"CACNB4",0,-0.783895667159645,0.113,0.391,0
"FMNL2",0,0.430974405123618,0.79,0.603,0
"LINC01876",0,-0.346796705801584,0.799,0.846,0
"UPP2",0,-0.221681532289281,0.051,0.205,0
"DAPL1",0,-1.16952312432768,0.284,0.543,0
"CD302",0,-0.19302665534137,0.169,0.335,0
"PLA2R1",0,-0.335549197813117,0.362,0.488,0
"RBMS1",0,-0.334986030507392,0.642,0.742,0
"FIGN",0,-0.309062828083701,0.075,0.296,0
"GAD1",0,0.095881380355874,0.152,0.05,0
"MTX2",0,-0.198545669543338,0.652,0.717,0
"LINC01117",0,-0.165432691231137,0.1,0.224,0
"OSBPL6",0,0.216865266623417,0.345,0.153,0
"AC007319.1",0,0.316125341200259,0.182,0.084,0
"GLS",0,0.296586008528027,0.657,0.457,0
"STAT1",0,0.388228504002882,0.593,0.43,0
"MYO1B",0,0.176640872686526,0.776,0.643,0
"COQ10B",0,0.129998144543274,0.393,0.257,0
"HSPD1",0,0.431749459237296,0.907,0.852,0
"HSPE1",0,0.612697524379438,0.925,0.876,0
"SPATS2L",0,0.48089969806565,0.9,0.833,0
"BZW1",0,0.487228312360189,0.864,0.725,0
"NDUFB3",0,0.337178893817106,0.818,0.684,0
"SUMO1",0,0.298045992772499,0.885,0.807,0
"NBEAL1",0,0.213214501330062,0.837,0.707,0
"PARD3B",0,-0.267645728716973,0.095,0.253,0
"KLF7",0,0.555762273950069,0.495,0.311,0
