"","column","cor","p.adj","corr_order","label"
"3","DPM1",0.196431940028419,0.730334607728264,5298,""
"7","CFH",0.0360167661856387,1,1457,""
"8","FUCA2",0.0766343871461987,1,2839,""
"10","NFYA",0.0461230352105653,1,1839,""
"11","STPG1",0.0535694384522184,1,2114,""
"12","NIPAL3",0.0311125228275369,1,1290,""
"21","BAD",0.0170409720731576,1,720,""
"22","LAP3",0.0605960581081786,1,2347,""
"24","HS3ST1",0.223368963907871,0.0593190649876871,5586,""
"27","HECW1",0.00326035211379043,1,143,""
"28","MAD1L1",0.420963258613023,3.14680343485778e-15,6487,""
"29","LASP1",0.0951194887152711,1,3354,""
"30","SNX11",0.0560834790696617,1,2202,""
"34","CYP26B1",0.340506942755118,1.28852541142346e-08,6295,""
"42","RBM5",0.00498495058983389,1,227,""
"49","AK2",0.260529053243214,0.00100958448177083,5903,""
"52","KDM1A",0.141651785795287,1,4403,""
"55","RECQL",0.0952081691563385,1,3356,""
"56","VPS50",0.0108347847790359,1,478,""
"65","SLC25A13",0.00832349477051075,1,362,""
"67","CDC27",0.200247086559936,0.522832404655831,5339,""
"70","HCCS",0.137266514979973,1,4330,""
"72","PRSS22",0.149091476784779,1,4549,""
"76","MCUB",0.296089819001023,1.0430707066593e-05,6129,""
"77","HOXA11",0.0177831040167051,1,745,""
"79","DHX33",0.027526366539354,1,1134,""
"86","CIAPIN1",0.211172505230669,0.193249027473352,5468,""
"96","WDR54",0.231760618481727,0.0251435794872281,5656,""
"102","IBTK",0.125750109360732,1,4081,""
"105","FBXL3",0.0233357884575085,1,964,""
"108","ITGA3",0.603411672793199,8.0185979231616e-39,6611,""
"110","LAMP2",0.0292273954163683,1,1209,""
"115","CRLF1",0.070659093319943,1,2676,""
"123","TMEM132A",0.00462281283211989,1,204,""
"124","AP2B1",0.132780912110175,1,4247,""
"130","TNFRSF12A",0.538137564621832,1.08258758649595e-28,6595,""
"132","MAP3K9",0.158640476227656,1,4726,""
"133","RALA",0.238680813548396,0.0120551062999697,5724,""
"134","BAIAP2L1",0.123786533658188,1,4041,""
"135","KDM7A",0.0649459872754099,1,2483,""
"142","FARP2",0.00491315188303991,1,224,""
"146","TBXA2R",0.00345613359911825,1,152,""
"149","COX10",0.0905167932817308,1,3223,""
"151","PAF1",0.120321654879149,1,3967,""
"154","ELAC2",0.133334914744275,1,4257,""
"163","MARK4",0.123620255896623,1,4039,""
"165","CCDC124",0.0447989288114824,1,1798,""
"167","PAFAH1B1",0.121950350692007,1,4001,""
"180","RPUSD1",0.0461057866405812,1,1838,""
"181","RHBDF1",0.145933127579483,1,4485,""
"182","LUC7L",0.000382281133007611,1,11,""
"184","BAIAP3",0.000933867254221994,1,40,""
"185","TSR3",0.137171173153985,1,4327,""
"186","PIGQ",0.0540224984045218,1,2132,""
"190","DNAJC11",0.166572847120666,1,4845,""
"195","PSMB1",0.117277041331291,1,3907,""
"197","JARID2",0.141239311215755,1,4398,""
"199","CAMK1G",0.12585352636476,1,4084,""
"201","NADK",0.0519347340703301,1,2061,""
"205","CYTH3",0.17002122961386,1,4891,""
"207","SYPL1",0.0335391916961951,1,1378,""
"209","SPAG9",0.112459342519058,1,3794,""
"220","MMP25",0.0354170992359084,1,1435,""
"221","IL32",0.0250847801345206,1,1026,""
"224","MED24",0.00159510300087336,1,64,""
"225","RHOBTB2",0.106676223320746,1,3654,""
"227","SEC62",0.0378736492459091,1,1527,""
"228","RPS20",0.0184404027031822,1,781,""
"229","CSDE1",0.0514055225428951,1,2033,""
"230","UBE3C",0.0589826090554899,1,2294,""
"236","FAM76A",0.121216197267322,1,3988,""
"238","POMT2",0.113939969200772,1,3827,""
"239","VTA1",0.140299890912394,1,4378,""
"247","UQCRC1",0.011343093478843,1,494,""
"248","STARD3NL",0.277976145499356,0.000116617609065308,6037,""
"250","HHATL",0.0259313136594168,1,1069,""
"253","GIPR",0.0240240948225552,1,983,""
"261","PRSS3",0.0246133182867287,1,1004,""
"262","ZNF200",0.134714853131435,1,4283,""
"267","SCMH1",0.00866539469133674,1,382,""
"269","HIVEP2",0.040791309702947,1,1637,""
"271","ELOA",0.255169781328555,0.00189757816379115,5864,""
"272","LYPLA2",0.363324603636696,2.62775994752537e-10,6363,""
"276","SLC6A7",0.0698220192142654,1,2653,""
"278","BTBD7",0.0817226640542245,1,2988,""
"288","PTBP1",0.0709184226902417,1,2685,""
"289","DPF1",0.204799117938305,0.348085936168145,5398,""
"290","SYT7",0.315033390313297,6.89035020340038e-07,6208,""
"293","PLAUR",0.268034381540951,0.000406990321234919,5960,""
"294","ANLN",0.270531750575549,0.000298885876863464,5979,""
"296","RABGAP1",0.0892134274128245,1,3191,""
"299","PPP5C",0.0493733526344719,1,1956,""
"302","ZBTB32",0.0560861137847943,1,2203,""
"306","ERCC1",0.0488219976561863,1,1931,""
"308","SEMA3B",0.173894041356036,1,4946,""
"312","EXTL3",0.252302432833669,0.00264185795940692,5842,""
"316","KDM5D",0.0178425497809017,1,750,""
"319","MAP4K5",0.0762484158105106,1,2827,""
"322","MAN2B2",0.0449205945538656,1,1803,""
"325","SLC25A39",0.189299038765095,1,5201,""
"326","MVP",0.152097469543795,1,4603,""
"328","PGM3",0.145019897518152,1,4466,""
"333","RNF14",0.0404485279346307,1,1618,""
"334","DNASE1L1",0.180744531764145,1,5065,""
"337","GPRC5A",0.216989894111372,0.11110617001964,5531,""
"340","TACC3",0.0493992533098852,1,1957,""
"342","POLA2",0.0242366935146034,1,989,""
"343","ZC3H3",0.0657709612967524,1,2514,""
"344","CAPN1",0.121423830410661,1,3990,""
"347","SLC30A9",0.059956414459941,1,2329,""
"348","MTMR11",0.135942752741991,1,4308,""
"358","XYLT2",0.0961088371731728,1,3383,""
"361","NUDCD3",0.0853019877589319,1,3084,""
"367","GLT8D1",0.0231015381024662,1,947,""
"370","SLC38A5",0.289931451372074,2.41834496068781e-05,6101,""
"371","RALBP1",0.0659616665548067,1,2521,""
"376","AGPS",0.0365106593712558,1,1475,""
"378","TTC27",0.0170830997412151,1,721,""
"381","PHLDB1",0.103385417522661,1,3569,""
"383","CYP24A1",0.196601678383222,0.719720170046749,5299,""
"386","SNAI2",0.432550567544811,2.4367396871867e-16,6508,""
"390","NCDN",0.139762963002822,1,4367,""
"393","MNAT1",0.228870319241418,0.033933158012563,5641,""
